ID,Título,Precio,Habitaciones,Metros cuadrados,Planta,Comercializado por,Link,Garaje
120,"Ático en calle de l'Impressor Monfort, Patraix, València",390.000€,3 hab.,122 m²,planta 7ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/106637886/,Garaje incluido
121,"Piso en avenida de Blasco Ibáñez, Mestalla, València",340.000€,4 hab.,113 m²,planta 4ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107567680/,No incluye garaje
122,"Piso en calle d' Alcàsser, Soternes, València",439.000€,3 hab.,116 m²,planta 6ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107520597/,No incluye garaje
123,"Piso en calle de la Florista, Ciutat Fallera, València",180.000€,2 hab.,73 m²,bajo exterior sin ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/105306273/,No incluye garaje
124,"Piso en Carrea de Les Tres Forques, La Fontsanta, València",130.000€,3 hab.,67 m²,planta 4ª exterior sin ascensor,HogarAbitat,https://www.idealista.com/inmueble/107234345/,No incluye garaje
125,"Piso en calle de Ramon de Rocafull, El Cabanyal-El Canyamelar, València",289.000€,1 hab.,65 m²,planta 1ª exterior sin ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107312511/,No incluye garaje
126,"Piso en calle de Joan Verdeguer, El Grau, València",260.000€,2 hab.,56 m²,planta 1ª interior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107323503/,No incluye garaje
127,"Piso en calle de l'Arxiduc Carles, Patraix, València",337.000€,6 hab.,162 m²,planta 2ª exterior con ascensor,Llave maestra,https://www.idealista.com/inmueble/107324048/,No incluye garaje
128,"Piso en calle de Fontanars dels Alforins, Safranar, València",305.000€,3 hab.,102 m²,planta 1ª exterior con ascensor,Llave maestra,https://www.idealista.com/inmueble/107256482/,No incluye garaje
129,"Estudio en Aiora, València",280.000€,,83 m²,bajo exterior con ascensor,aProperties Real Estate Valencia,https://www.idealista.com/inmueble/106783553/,No incluye garaje
130,"Dúplex en calle dels Gremis, Vara de Quart, València",195.000€,1 hab.,99 m²,planta 3ª exterior con ascensor,Kasabiba,https://www.idealista.com/inmueble/106685845/,Garaje incluido
131,"Piso en avenida de Peris i Valero, En Corts, València",258.000€,3 hab.,70 m²,planta 2ª interior con ascensor,CM PROPERTIES REAL ESTATE  VALENCIA,https://www.idealista.com/inmueble/107163001/,No incluye garaje
132,"Piso en calle de Ruzafa, Russafa, València",875.000€,4 hab.,228 m²,planta 2ª exterior con ascensor,CM PROPERTIES REAL ESTATE  VALENCIA,https://www.idealista.com/inmueble/106485962/,No incluye garaje
133,"Ático en La Petxina, València",580.000€,3 hab.,117 m²,planta 8ª exterior con ascensor,Person Inmobiliaria,https://www.idealista.com/inmueble/107713947/,No incluye garaje
134,"Dúplex en calle de los Borja, El Carme, València",1.350.000€,4 hab.,210 m²,planta 3ª exterior con ascensor,Monserrate inmobiliaria,https://www.idealista.com/inmueble/96517210/,Garaje incluido
